Day ,Items ,Note ,Amount 
90,Sales E Commerce,Revenue - ECM SO ID: 12455,12142
90,Machines,Asset Disposed,117006
90,Salary Expense,Cash Payment - Salary Expense,-26590
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12756,-246
90,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,11802
90,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7920
90,Retail,Revenue - Retail Sales Los Angeles - White Wine,14605
90,Retail,Revenue - Retail Sales New York - Sparkling Wine,10773
90,Retail,Revenue - Retail Sales New York - Red Wine,9060
90,Retail,Revenue - Retail Sales New York - White Wine,19941
90,Interest Expense ,Cash Payment - Interest - For Overdraft,-3596
90,Rental Expense,Cash Payment - Rental - Miami,-1200
90,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
90,Rental Expense,Cash Payment - Rental - Chicago,-1600
90,Rental Expense,Cash Payment - Rental - New York,-4020
89,Sales E Commerce,Revenue - ECM SO ID: 12304,10506
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12564 ,-84840
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12564 ,-103768
89,Overdraft,,312500
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12564 ,-115976
89,Machines,Asset Disposed,30000
89,Salary Expense,Cash Payment - Salary Expense,-26540
89,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12745,-91
89,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12750,-115
89,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,11088
89,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7600
89,Retail,Revenue - Retail Sales Los Angeles - White Wine,15410
89,Retail,Revenue - Retail Sales New York - Sparkling Wine,10164
89,Retail,Revenue - Retail Sales New York - Red Wine,10040
89,Retail,Revenue - Retail Sales New York - White Wine,22080
89,Interest Expense ,Cash Payment - Interest - For Overdraft,-3596
89,Rental Expense,Cash Payment - Rental - Miami,-1200
89,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
89,Rental Expense,Cash Payment - Rental - Chicago,-1600
89,Rental Expense,Cash Payment - Rental - New York,-4020
88,Salary Expense,Cash Payment - Salary Expense,-27418
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12605,-34
88,Shipping Expense,Cash Payment - Move Stock ID: 11865,-20593
88,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7360
88,Retail,Revenue - Retail Sales New York - Sparkling Wine,13566
88,Retail,Revenue - Retail Sales New York - Red Wine,13000
88,Retail,Revenue - Retail Sales New York - White Wine,29463
88,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
88,Rental Expense,Cash Payment - Rental - Miami,-1200
88,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
88,Rental Expense,Cash Payment - Rental - Chicago,-1600
88,Rental Expense,Cash Payment - Rental - New York,-4020
87,Sales E Commerce,Revenue - ECM SO ID: 12020,11054
87,Salary Expense,Cash Payment - Salary Expense,-27861
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12455,-121
87,Shipping Expense,Cash Payment - Move Stock ID: 11723,-18860
87,Retail,Revenue - Retail Sales Los Angeles - Red Wine,8400
87,Retail,Revenue - Retail Sales New York - Sparkling Wine,13020
87,Retail,Revenue - Retail Sales New York - Red Wine,13120
87,Retail,Revenue - Retail Sales New York - White Wine,26588
87,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 9835,-2200
87,Services,Revenue - Service Sales Order ID: 11736,45000
87,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
87,Rental Expense,Cash Payment - Rental - Miami,-1200
87,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
87,Rental Expense,Cash Payment - Rental - Chicago,-1600
87,Rental Expense,Cash Payment - Rental - New York,-4020
86,Sales E Commerce,Revenue - ECM SO ID: 11787,11200
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12459 ,-88476
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12459 ,-100273
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 12459 ,-113179
86,Salary Expense,Cash Payment - Salary Expense,-27838
86,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12304,-105
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 333,-15000
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 345,-15000
86,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7760
86,Retail,Revenue - Retail Sales New York - Sparkling Wine,13167
86,Retail,Revenue - Retail Sales New York - Red Wine,13120
86,Retail,Revenue - Retail Sales New York - White Wine,28888
86,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
86,Rental Expense,Cash Payment - Rental - Miami,-1200
86,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
86,Rental Expense,Cash Payment - Rental - Chicago,-1600
86,Rental Expense,Cash Payment - Rental - New York,-4020
85,Sales E Commerce,Revenue - ECM SO ID: 11589,23798
85,Sales E Commerce,Revenue - ECM SO ID: 11729,25747
85,Salary Expense,Cash Payment - Salary Expense,-27797
85,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7360
85,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
85,Rental Expense,Cash Payment - Rental - Miami,-1200
85,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
85,Rental Expense,Cash Payment - Rental - Chicago,-1600
85,Rental Expense,Cash Payment - Rental - New York,-4020
84,Sales E Commerce,Revenue - ECM SO ID: 11568,9292
84,Salary Expense,Cash Payment - Salary Expense,-28672
84,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12020,-111
84,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7620
84,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
84,Rental Expense,Cash Payment - Rental - Miami,-1200
84,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
84,Rental Expense,Cash Payment - Rental - Chicago,-1600
84,Rental Expense,Cash Payment - Rental - New York,-4020
83,Sales E Commerce,Revenue - ECM SO ID: 11402,9206
83,Sales E Commerce,Revenue - ECM SO ID: 11431,17183
83,Salary Expense,Cash Payment - Salary Expense,-28672
83,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11787,-112
83,Retail,Revenue - Retail Sales Los Angeles - Red Wine,8100
83,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
83,Rental Expense,Cash Payment - Rental - Miami,-1200
83,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
83,Rental Expense,Cash Payment - Rental - Chicago,-1600
83,Rental Expense,Cash Payment - Rental - New York,-4020
82,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11705 ,-68340
82,Human Resource Expense,Attended Training,-15000
82,Salary Expense,Cash Payment - Salary Expense,-28608
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11589,-238
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11729,-257
82,Retail,Revenue - Retail Sales Los Angeles - Red Wine,51480
82,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
82,Rental Expense,Cash Payment - Rental - Miami,-1200
82,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
82,Rental Expense,Cash Payment - Rental - Chicago,-1600
82,Rental Expense,Cash Payment - Rental - New York,-4020
81,Sales E Commerce,Revenue - ECM SO ID: 10949,12776
81,Sales E Commerce,Revenue - ECM SO ID: 11101,11384
81,Sales E Commerce,Revenue - ECM SO ID: 11116,9260
81,Salary Expense,Cash Payment - Salary Expense,-28269
81,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11568,-93
81,Retail,Revenue - Retail Sales Los Angeles - Red Wine,39380
81,Retail,Revenue - Retail Sales New York - Sparkling Wine,77721
81,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
81,Rental Expense,Cash Payment - Rental - Miami,-1200
81,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
81,Rental Expense,Cash Payment - Rental - Chicago,-1600
81,Rental Expense,Cash Payment - Rental - New York,-4020
80,Sales E Commerce,Revenue - ECM SO ID: 10625,3619
80,Sales E Commerce,Revenue - ECM SO ID: 10797,8690
80,Sales E Commerce,Revenue - ECM SO ID: 10944,1758
80,Sales E Commerce,Revenue - ECM SO ID: 10966,12753
80,Sales E Commerce,Revenue - ECM SO ID: 10968,4896
80,Salary Expense,Cash Payment - Salary Expense,-27544
80,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11402,-92
80,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11431,-172
80,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,52164
80,Retail,Revenue - Retail Sales Los Angeles - Red Wine,42900
80,Retail,Revenue - Retail Sales New York - Sparkling Wine,86730
80,Retail,Revenue - Retail Sales New York - Red Wine,40080
80,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
80,Rental Expense,Cash Payment - Rental - Miami,-1200
80,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
80,Rental Expense,Cash Payment - Rental - Chicago,-1600
80,Rental Expense,Cash Payment - Rental - New York,-4020
79,Sales E Commerce,Revenue - ECM SO ID: 10637,4344
79,Sales E Commerce,Revenue - ECM SO ID: 10645,4549
79,Sales E Commerce,Revenue - ECM SO ID: 10769,8631
79,Salary Expense,Cash Payment - Salary Expense,-27475
79,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 333,-15000
79,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 345,-15000
79,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,54390
79,Retail,Revenue - Retail Sales Los Angeles - Red Wine,41700
79,Retail,Revenue - Retail Sales Los Angeles - White Wine,67091
79,Retail,Revenue - Retail Sales New York - Sparkling Wine,87549
79,Overdraft,Repayment,-625000
79,Retail,Revenue - Retail Sales New York - Red Wine,81140
79,Interest Expense ,Cash Payment - Interest - For Overdraft,-3082
79,Rental Expense,Cash Payment - Rental - Miami,-1200
79,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
79,Rental Expense,Cash Payment - Rental - Chicago,-1600
79,Rental Expense,Cash Payment - Rental - New York,-4020
78,Sales E Commerce,Revenue - ECM SO ID: 10491,8178
78,Sales E Commerce,Revenue - ECM SO ID: 10626,12069
78,Human Resource Expense,Attended Training,-15000
78,Human Resource Expense,Attended Training,-15000
78,Salary Expense,Cash Payment - Salary Expense,-27457
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10949,-128
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11101,-114
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11116,-93
78,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,54810
78,Retail,Revenue - Retail Sales Los Angeles - Red Wine,39220
78,Retail,Revenue - Retail Sales Los Angeles - White Wine,67068
78,Retail,Revenue - Retail Sales New York - Sparkling Wine,87549
78,Retail,Revenue - Retail Sales New York - Red Wine,79540
78,Retail,Revenue - Retail Sales New York - White Wine,26519
78,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
78,Rental Expense,Cash Payment - Rental - Miami,-1200
78,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
78,Rental Expense,Cash Payment - Rental - Chicago,-1600
78,Rental Expense,Cash Payment - Rental - New York,-4020
77,Sales E Commerce,Revenue - ECM SO ID: 10321,9932
77,Sales E Commerce,Revenue - ECM SO ID: 10467,5453
77,Sales E Commerce,Revenue - ECM SO ID: 10477,21240
77,Salary Expense,Cash Payment - Salary Expense,-27434
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10625,-36
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10797,-87
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10944,-18
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10966,-128
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10968,-49
77,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,9429
77,Retail,Revenue - Retail Sales Los Angeles - Red Wine,6640
77,Retail,Revenue - Retail Sales Los Angeles - White Wine,11914
77,Retail,Revenue - Retail Sales New York - Sparkling Wine,13965
77,Retail,Revenue - Retail Sales New York - Red Wine,13640
77,Retail,Revenue - Retail Sales New York - White Wine,29739
77,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
77,Rental Expense,Cash Payment - Rental - Miami,-1200
77,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
77,Rental Expense,Cash Payment - Rental - Chicago,-1600
77,Rental Expense,Cash Payment - Rental - New York,-4020
76,Sales E Commerce,Revenue - ECM SO ID: 10157,5016
76,Sales E Commerce,Revenue - ECM SO ID: 10298,6724
76,Human Resource Expense,Cash Payment - Staff Recruiting,-15000
76,Human Resource Expense,Cash Payment - Staff Recruiting,-15000
76,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 10952 ,-96900
76,Salary Expense,Cash Payment - Salary Expense,-27880
76,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10637,-43
76,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10645,-45
76,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10769,-86
76,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,8085
76,Retail,Revenue - Retail Sales Los Angeles - Red Wine,6820
76,Retail,Revenue - Retail Sales Los Angeles - White Wine,10511
76,Retail,Revenue - Retail Sales New York - Sparkling Wine,13419
76,Retail,Revenue - Retail Sales New York - Red Wine,12480
76,Retail,Revenue - Retail Sales New York - White Wine,30590
76,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
76,Rental Expense,Cash Payment - Rental - Miami,-1200
76,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
76,Rental Expense,Cash Payment - Rental - Chicago,-1600
76,Rental Expense,Cash Payment - Rental - New York,-4020
75,Sales E Commerce,Revenue - ECM SO ID: 10139,2534
75,Sales E Commerce,Revenue - ECM SO ID: 10144,6816
75,Sales E Commerce,Revenue - ECM SO ID: 10156,6283
75,Sales E Commerce,Revenue - ECM SO ID: 10165,9029
75,Human Resource Expense,Attended Training,-15000
75,Human Resource Expense,Attended Training,-15000
75,Human Resource Expense,Cash Payment - Staff Recruiting,-15000
75,Salary Expense,Cash Payment - Salary Expense,-27553
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10491,-82
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10626,-121
75,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,8925
75,Retail,Revenue - Retail Sales Los Angeles - Red Wine,5580
75,Retail,Revenue - Retail Sales Los Angeles - White Wine,11178
75,Retail,Revenue - Retail Sales New York - Sparkling Wine,13020
75,Retail,Revenue - Retail Sales New York - Red Wine,13260
75,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
75,Rental Expense,Cash Payment - Rental - Miami,-1200
75,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
75,Rental Expense,Cash Payment - Rental - Chicago,-1600
75,Rental Expense,Cash Payment - Rental - New York,-4020
74,Salary Expense,Cash Payment - Salary Expense,-27161
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10321,-99
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10467,-55
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10477,-212
74,Shipping Expense,Cash Payment - Move Stock ID: 10451,-402400
74,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,8757
74,Retail,Revenue - Retail Sales Los Angeles - Red Wine,6180
74,Retail,Revenue - Retail Sales Los Angeles - White Wine,11385
74,Retail,Revenue - Retail Sales New York - Sparkling Wine,12894
74,Retail,Revenue - Retail Sales New York - Red Wine,12080
74,Services,Revenue - Service Sales Order ID: 9661,40000
74,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
74,Rental Expense,Cash Payment - Rental - Miami,-1200
74,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
74,Rental Expense,Cash Payment - Rental - Chicago,-1600
74,Rental Expense,Cash Payment - Rental - New York,-4020
73,Sales E Commerce,Revenue - ECM SO ID: 9680,2158
73,Salary Expense,Cash Payment - Salary Expense,-27586
73,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10157,-50
73,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10298,-67
73,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10353
73,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7520
73,Retail,Revenue - Retail Sales Los Angeles - White Wine,14904
73,Retail,Revenue - Retail Sales New York - Sparkling Wine,12495
73,Retail,Revenue - Retail Sales New York - Red Wine,13900
73,Retail,Revenue - Retail Sales New York - White Wine,14122
73,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
73,Rental Expense,Cash Payment - Rental - Miami,-1200
73,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
73,Rental Expense,Cash Payment - Rental - Chicago,-1600
73,Rental Expense,Cash Payment - Rental - New York,-4020
72,Maintenance Expense,Cash Payment - Periodic Maintenance,-7000
72,Salary Expense,Cash Payment - Salary Expense,-28016
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10139,-25
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10144,-68
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10156,-63
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 10165,-90
72,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 333,-15000
72,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 345,-15000
72,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10458
72,Retail,Revenue - Retail Sales Los Angeles - Red Wine,8240
72,Retail,Revenue - Retail Sales Los Angeles - White Wine,14329
72,Retail,Revenue - Retail Sales New York - Sparkling Wine,14217
72,Retail,Revenue - Retail Sales New York - Red Wine,13780
72,Retail,Revenue - Retail Sales New York - White Wine,30314
72,Services,Revenue - Service Sales Order ID: 9684,23800
72,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
72,Rental Expense,Cash Payment - Rental - Miami,-1200
72,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
72,Rental Expense,Cash Payment - Rental - Chicago,-1600
72,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-350
72,Rental Expense,Cash Payment - Rental - New York,-4020
71,Sales E Commerce,Revenue - ECM SO ID: 9381,8352
71,Salary Expense,Cash Payment - Salary Expense,-27657
71,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,11361
71,Retail,Revenue - Retail Sales Los Angeles - Red Wine,7840
71,Retail,Revenue - Retail Sales Los Angeles - White Wine,15548
71,Retail,Revenue - Retail Sales New York - Sparkling Wine,13419
71,Retail,Revenue - Retail Sales New York - Red Wine,13640
71,Retail,Revenue - Retail Sales New York - White Wine,28589
71,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
71,Rental Expense,Cash Payment - Rental - Miami,-1200
71,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
71,Rental Expense,Cash Payment - Rental - Chicago,-1600
71,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-980
71,Rental Expense,Cash Payment - Rental - New York,-4020
70,Sales E Commerce,Revenue - ECM SO ID: 9370,4018
70,Wholesales (B2B),Revenue - B2B SO ID: 9674,292250
70,Salary Expense,Cash Payment - Salary Expense,-27335
70,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 9680,-22
70,Retail,Revenue - Retail Sales Los Angeles - Sparkling Wine,10962
70,Retail,Revenue - Retail Sales Los Angeles - Red Wine,8860
70,Retail,Revenue - Retail Sales Los Angeles - White Wine,15755
70,Retail,Revenue - Retail Sales New York - Sparkling Wine,14994
70,Retail,Revenue - Retail Sales New York - Red Wine,13220
70,Retail,Revenue - Retail Sales New York - White Wine,32269
70,Interest Expense ,Cash Payment - Interest - For Overdraft,-4110
70,Rental Expense,Cash Payment - Rental - Miami,-1200
70,Rental Expense,Cash Payment - Rental - Los Angeles,-1620
70,Rental Expense,Cash Payment - Rental - Chicago,-1600
70,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,-1610
70,Rental Expense,Cash Payment - Rental - New York,-4020
