"Day ","Items ","Note ","Amount "
"90","Salary Expense","Cash Payment - Salary Expense","26590"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12756","246"
"90","Interest Expense ","Cash Payment - Interest - For Overdraft","3596"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","3333"
"90","Rental Expense","Cash Payment - Rental - Miami","1200"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"90","Rental Expense","Cash Payment - Rental - Chicago","1600"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Salary Expense","Cash Payment - Salary Expense","26540"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12745","91"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12750","115"
"89","Interest Expense ","Cash Payment - Interest - For Overdraft","3596"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"89","Rental Expense","Cash Payment - Rental - Miami","1200"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"89","Rental Expense","Cash Payment - Rental - Chicago","1600"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Salary Expense","Cash Payment - Salary Expense","27418"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12605","34"
"88","Shipping Expense","Cash Payment - Move Stock ID: 11865","20593"
"88","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"88","Rental Expense","Cash Payment - Rental - Miami","1200"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"88","Rental Expense","Cash Payment - Rental - Chicago","1600"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Salary Expense","Cash Payment - Salary Expense","27861"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12455","121"
"87","Shipping Expense","Cash Payment - Move Stock ID: 11723","18860"
"87","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9835","2200"
"87","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"87","Rental Expense","Cash Payment - Rental - Miami","1200"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"87","Rental Expense","Cash Payment - Rental - Chicago","1600"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Salary Expense","Cash Payment - Salary Expense","27838"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12304","105"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","15000"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 345","15000"
"86","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"86","Rental Expense","Cash Payment - Rental - Miami","1200"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"86","Rental Expense","Cash Payment - Rental - Chicago","1600"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Salary Expense","Cash Payment - Salary Expense","27797"
"85","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"85","Rental Expense","Cash Payment - Rental - Miami","1200"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"85","Rental Expense","Cash Payment - Rental - Chicago","1600"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Salary Expense","Cash Payment - Salary Expense","28672"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12020","111"
"84","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"84","Rental Expense","Cash Payment - Rental - Miami","1200"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"84","Rental Expense","Cash Payment - Rental - Chicago","1600"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"83","Salary Expense","Cash Payment - Salary Expense","28672"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11787","112"
"83","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"83","Rental Expense","Cash Payment - Rental - Miami","1200"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"83","Rental Expense","Cash Payment - Rental - Chicago","1600"
"83","Rental Expense","Cash Payment - Rental - New York","4020"
"82","Human Resource Expense","Attended Training","15000"
"82","Salary Expense","Cash Payment - Salary Expense","28608"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11589","238"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11729","257"
"82","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"82","Rental Expense","Cash Payment - Rental - Miami","1200"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"82","Rental Expense","Cash Payment - Rental - Chicago","1600"
"82","Rental Expense","Cash Payment - Rental - New York","4020"
"81","Salary Expense","Cash Payment - Salary Expense","28269"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11568","93"
"81","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"81","Rental Expense","Cash Payment - Rental - Miami","1200"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"81","Rental Expense","Cash Payment - Rental - Chicago","1600"
"81","Rental Expense","Cash Payment - Rental - New York","4020"
"80","Salary Expense","Cash Payment - Salary Expense","27544"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11402","92"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11431","172"
"80","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"80","Rental Expense","Cash Payment - Rental - Miami","1200"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"80","Rental Expense","Cash Payment - Rental - Chicago","1600"
"80","Rental Expense","Cash Payment - Rental - New York","4020"
"79","Salary Expense","Cash Payment - Salary Expense","27475"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","15000"
"79","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 345","15000"
"79","Interest Expense ","Cash Payment - Interest - For Overdraft","3082"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"79","Rental Expense","Cash Payment - Rental - Miami","1200"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"79","Rental Expense","Cash Payment - Rental - Chicago","1600"
"79","Rental Expense","Cash Payment - Rental - New York","4020"
"78","Human Resource Expense","Attended Training","15000"
"78","Human Resource Expense","Attended Training","15000"
"78","Salary Expense","Cash Payment - Salary Expense","27457"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10949","128"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11101","114"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11116","93"
"78","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"78","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"78","Rental Expense","Cash Payment - Rental - Miami","1200"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"78","Rental Expense","Cash Payment - Rental - Chicago","1600"
"78","Rental Expense","Cash Payment - Rental - New York","4020"
"77","Salary Expense","Cash Payment - Salary Expense","27434"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10625","36"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10797","87"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10944","18"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10966","128"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10968","49"
"77","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"77","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"77","Rental Expense","Cash Payment - Rental - Miami","1200"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"77","Rental Expense","Cash Payment - Rental - Chicago","1600"
"77","Rental Expense","Cash Payment - Rental - New York","4020"
"76","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"76","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"76","Salary Expense","Cash Payment - Salary Expense","27880"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10637","43"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10645","45"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10769","86"
"76","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"76","Rental Expense","Cash Payment - Rental - Miami","1200"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"76","Rental Expense","Cash Payment - Rental - Chicago","1600"
"76","Rental Expense","Cash Payment - Rental - New York","4020"
"75","Human Resource Expense","Attended Training","15000"
"75","Human Resource Expense","Attended Training","15000"
"75","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"75","Salary Expense","Cash Payment - Salary Expense","27553"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10491","82"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10626","121"
"75","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"75","Rental Expense","Cash Payment - Rental - Miami","1200"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"75","Rental Expense","Cash Payment - Rental - Chicago","1600"
"75","Rental Expense","Cash Payment - Rental - New York","4020"
"74","Salary Expense","Cash Payment - Salary Expense","27161"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10321","99"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10467","55"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10477","212"
"74","Shipping Expense","Cash Payment - Move Stock ID: 10451","402400"
"74","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"74","Rental Expense","Cash Payment - Rental - Miami","1200"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"74","Rental Expense","Cash Payment - Rental - Chicago","1600"
"74","Rental Expense","Cash Payment - Rental - New York","4020"
"73","Salary Expense","Cash Payment - Salary Expense","27586"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10157","50"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10298","67"
"73","Interest Expense ","Cash Payment - Interest - For Overdraft","4110"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","6666"
"73","Rental Expense","Cash Payment - Rental - Miami","1200"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","1620"
"73","Rental Expense","Cash Payment - Rental - Chicago","1600"
