Day,Revenue,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,280040,-280040
3,41318,16760,311590,-294830
4,82829,33615,343140,-309525
5,123446,50068,374690,-324622
6,161100,62695,406472,-343777
7,200307,75721,438257,-362536
8,237224,87892,487220,-399328
9,2499105,516341,518660,-2319
10,2976270,664568,583855,80713
11,3476213,814668,622807,191861
12,3913418,1010035,690986,319049
13,4280115,1172232,729057,443175
14,7391774,1919563,763372,1156191
15,7473445,1951906,812430,1139476
16,7543389,1983424,865094,1118330
17,7639163,2019038,902766,1116272
18,7709137,2052088,941132,1110956
19,8066731,2060234,979120,1081114
20,8784326,2087371,1017175,1070196
21,8954725,2147204,1055180,1092024
22,9087160,2193961,1093370,1100591
23,9244521,2254627,1149810,1104817
24,10159553,2274441,1207272,1067169
25,10263174,2289395,1276085,1013310
26,10358390,2329940,1314493,1015447
27,10426273,2361229,1353238,1007991
28,10906863,2544759,1478791,1065968
29,10968790,2575180,1517659,1057521
30,11051785,2598854,1555264,1043590
31,11134994,2625043,1595650,1029393
32,11372372,2803315,1652815,1150500
33,11641006,3030164,1707739,1322425
34,11710567,3058526,1747289,1311237
35,11812681,3095405,1817401,1278004
36,11876962,3116381,1872442,1243939
37,12361970,3386822,2039770,1347052
38,12669753,3539674,2078794,1460880
39,13099012,3754079,2118338,1635741
40,13385668,3968947,2157914,1811033
41,13612426,4019574,2198110,1821464
42,13690970,4038508,2238935,1799573
43,13767954,4054849,2298279,1756570
44,14306073,4145535,2344030,1801505
45,14935660,4340482,2386277,1954205
46,15390496,4431028,2442052,1988976
47,15469812,4455241,2513198,1942043
48,15510042,4469247,2554469,1914778
49,15557990,4486137,2599522,1886615
50,15600602,4497047,3024428,1472619
51,15656055,4509254,3100464,1408790
52,16343750,4525129,3236909,1288220
53,16374018,4533192,3298600,1234592
54,16410742,4543066,3362435,1180631
55,16546576,4580071,3423799,1156272
56,16707817,4618499,3470174,1148325
57,17199017,4635765,3515754,1120011
58,17336171,4673772,3576142,1097630
59,17368718,4682486,3627561,1054925
60,17422192,4694460,3673012,1021448
61,17452723,4702564,3719150,983414
62,17477794,4704819,4751729,-46910
63,17502710,4665337,4857093,-191756
64,17526468,4667768,4906913,-239145
65,18137870,4882868,5097903,-215035
66,18164122,4891574,5145685,-254111
67,18266851,4923038,5193503,-270465
68,18358671,4944103,5285512,-341409
69,18450062,4992312,5354167,-361855
70,18842390,5028403,5402350,-373947
71,18941139,5079441,5450203,-370762
72,19056277,5159277,5535031,-375754
73,19131729,5199411,5581950,-382539
74,19223025,5270932,6031093,-760161
75,19299650,5298170,6123065,-824895
76,19393295,5335899,6200335,-864436
77,19515247,5382235,6247303,-865068
78,19890200,5573743,6324311,-750568
79,20239594,5735052,6399974,-664922
80,20493184,5849057,6445970,-596913
81,20643705,5919185,6492520,-573335
82,20695185,5949369,6554811,-605442
83,20729674,5962778,6601783,-639005
84,20746586,5969313,6648754,-679441
85,20803491,5993720,6694739,-701019
86,20877626,6030324,6770870,-740546
87,20994808,6109670,6838100,-728430
88,21058197,6141895,6904333,-762438
89,21145085,6182484,6949781,-737297
90,21231328,6223187,6991986,-751800
