[HIGHEST OVERHEAD CATEGORY] Salary Expense: 29.92%
----------------------------------------------
[CASH DEFICIT] Day: 1, Amount: USD12600
[CASH DEFICIT] Day: 2, Amount: USD267440
[CASH DEFICIT] Day: 3, Amount: USD2962232
[CASH SURPLUS] Day: 4, Amount: USD9961
[CASH SURPLUS] Day: 5, Amount: USD9067
[CASH SURPLUS] Day: 6, Amount: USD5872
[CASH SURPLUS] Day: 7, Amount: USD7422
[CASH DEFICIT] Day: 8, Amount: USD12046
[CASH DEFICIT] Day: 9, Amount: USD269559
[CASH SURPLUS] Day: 10, Amount: USD754970
[CASH DEFICIT] Day: 11, Amount: USD159009
[CASH DEFICIT] Day: 12, Amount: USD175994
[CASH SURPLUS] Day: 13, Amount: USD333626
[CASH SURPLUS] Day: 14, Amount: USD60924
[CASH SURPLUS] Day: 15, Amount: USD37613
[CASH DEFICIT] Day: 16, Amount: USD691180
[CASH SURPLUS] Day: 17, Amount: USD63102
[CASH SURPLUS] Day: 18, Amount: USD36608
[CASH SURPLUS] Day: 19, Amount: USD324606
[CASH DEFICIT] Day: 20, Amount: USD389298
[CASH SURPLUS] Day: 21, Amount: USD137394
[CASH SURPLUS] Day: 22, Amount: USD99245
[CASH DEFICIT] Day: 23, Amount: USD246879
[CASH SURPLUS] Day: 24, Amount: USD237570
[CASH SURPLUS] Day: 25, Amount: USD39808
[CASH SURPLUS] Day: 26, Amount: USD61808
[CASH SURPLUS] Day: 27, Amount: USD34138
[CASH DEFICIT] Day: 28, Amount: USD264963
[CASH SURPLUS] Day: 29, Amount: USD308841
[CASH DEFICIT] Day: 30, Amount: USD574610
[CASH SURPLUS] Day: 31, Amount: USD5423
[CASH SURPLUS] Day: 32, Amount: USD185213
[CASH SURPLUS] Day: 33, Amount: USD218710
[CASH SURPLUS] Day: 34, Amount: USD35011
[CASH SURPLUS] Day: 35, Amount: USD37002
[CASH SURPLUS] Day: 36, Amount: USD14240
[CASH DEFICIT] Day: 37, Amount: USD302320
[CASH SURPLUS] Day: 38, Amount: USD118999
[CASH SURPLUS] Day: 39, Amount: USD156415
[CASH DEFICIT] Day: 40, Amount: USD229639
[CASH SURPLUS] Day: 41, Amount: USD66002
[CASH SURPLUS] Day: 42, Amount: USD42719
[CASH DEFICIT] Day: 43, Amount: USD174027
[CASH SURPLUS] Day: 44, Amount: USD301502
[CASH DEFICIT] Day: 45, Amount: USD29327
[CASH DEFICIT] Day: 46, Amount: USD217606
[CASH SURPLUS] Day: 47, Amount: USD16503
[CASH SURPLUS] Day: 48, Amount: USD7292
[CASH DEFICIT] Day: 49, Amount: USD127328
[CASH DEFICIT] Day: 50, Amount: USD22399
[CASH DEFICIT] Day: 51, Amount: USD12250
[CASH DEFICIT] Day: 52, Amount: USD65417
[CASH DEFICIT] Day: 53, Amount: USD23090
[CASH SURPLUS] Day: 54, Amount: USD293722
[CASH SURPLUS] Day: 55, Amount: USD82803
[CASH SURPLUS] Day: 56, Amount: USD123199
[CASH DEFICIT] Day: 57, Amount: USD171047
[CASH DEFICIT] Day: 58, Amount: USD104240
[CASH DEFICIT] Day: 59, Amount: USD10539
[CASH SURPLUS] Day: 60, Amount: USD16356
[CASH DEFICIT] Day: 61, Amount: USD7274
[CASH DEFICIT] Day: 62, Amount: USD61675
[CASH DEFICIT] Day: 63, Amount: USD72115
[CASH DEFICIT] Day: 64, Amount: USD17729
[CASH SURPLUS] Day: 65, Amount: USD428745
[CASH DEFICIT] Day: 66, Amount: USD13197
[CASH DEFICIT] Day: 67, Amount: USD98799
[CASH SURPLUS] Day: 68, Amount: USD8144
[CASH DEFICIT] Day: 69, Amount: USD341738
[CASH SURPLUS] Day: 70, Amount: USD350811
[CASH SURPLUS] Day: 71, Amount: USD57562
[CASH SURPLUS] Day: 72, Amount: USD36976
[CASH SURPLUS] Day: 73, Amount: USD35199
[CASH DEFICIT] Day: 74, Amount: USD351181
